id,product_id,product_name,price,unit,quantity,link,category,sub_category_1,sub_category_2,created_date,online_partner
1,590000086,Coconut 1 pc (Approx 350 g - 600 g),41.67,600,g,https://www.jiomart.com/p/groceries/coconut-1-pc/590000086,Groceries,Fruits & Vegetables,Fresh Vegetables,16/02/2022 11:56,Jiomart
2,590000091,Tomato Country 1 kg,14,1,kg,https://www.jiomart.com/p/groceries/tomato-country-1-kg/590000091,Groceries,Fruits & Vegetables,Fresh Vegetables,17/02/2022 11:56,Jiomart
3,590000092,Tomato 1 kg,18,1,kg,https://www.jiomart.com/p/groceries/tomato-1-kg/590000092,Groceries,Fruits & Vegetables,Fresh Vegetables,18/02/2022 11:56,Jiomart
4,590000136,White Radish 1 kg,14,1,kg,https://www.jiomart.com/p/groceries/raddish-white-1-kg/590000136,Groceries,Fruits & Vegetables,Fresh Vegetables,19/02/2022 11:56,Jiomart
5,590000160,Stringless Beans 500 g,20,500,g,https://www.jiomart.com/p/groceries/beans-string-less-500-g/590000160,Groceries,Fruits & Vegetables,Fresh Vegetables,20/02/2022 11:56,Jiomart
6,590000170,Cucumber Regular 1 kg,15,1,kg,https://www.jiomart.com/p/groceries/cucumber-1-kg/590000170,Groceries,Fruits & Vegetables,Fresh Vegetables,21/02/2022 11:56,Jiomart
7,590000171,Cucumber Madras 1 kg,15,1,kg,https://www.jiomart.com/p/groceries/cucumber-madras-1-kg/590000171,Groceries,Fruits & Vegetables,Fresh Vegetables,22/02/2022 11:56,Jiomart
8,590000174,Lauki (Bottle Gourd) 1 kg,19,1,kg,https://www.jiomart.com/p/groceries/lauki-bottle-gourd-1-kg/590000174,Groceries,Fruits & Vegetables,Fresh Vegetables,23/02/2022 11:56,Jiomart
9,590000186,Carrot Orange 500 g,89,500,g,https://www.jiomart.com/p/groceries/carrot-regular-1-kg/590000186,Groceries,Fruits & Vegetables,Fresh Vegetables,24/02/2022 11:56,Jiomart
10,590000619,Cauliflower 1 pc (Approx 600 g - 1000 g),24,1000,g,https://www.jiomart.com/p/groceries/cauliflower-1-pc/590000619,Groceries,Fruits & Vegetables,Fresh Vegetables,25/02/2022 11:56,Jiomart
11,590001266,Sweet Corn 1 pc (Approx 250 g - 450 g),42.22,450,g,https://www.jiomart.com/p/groceries/sweet-corn-1-pc/590001266,Groceries,Fruits & Vegetables,Fresh Vegetables,26/02/2022 11:56,Jiomart
